dataid,total_square_footage,first_floor_square_footage,second_floor_square_footage
5226,1200,,
4224,1200,,
4438,712,,
7693,975,,
8029,1200,,
1284,,,
5387,1547,,
4761,1580,,
9139,606,,
6231,,,
6547,1547,,
8117,712,,
7468,1200,,
2465,1200,,
507,975,,
5456,1200,,
7893,1200,,
3615,5956,4301,1655
954,627,,
4660,832,,
5087,1200,,
7013,712,,
9165,1200,,
5944,975,,
2667,1200,,
3886,712,,
5279,712,,
7585,1200,,
8122,627,,
1646,,,
9846,627,,
2751,705,,
68,975,,
9624,751,,
3973,832,,
4910,975,,
8848,1200,,
692,,,
9599,,,
3519,712,,
5252,975,,
6799,5953,3274.5,
6334,750,,
7276,825,,
7122,1001,,
2366,751,,
6953,,,
8807,713,,
5552,816,,
130,1079,,
2505,1200,,
4974,2393,1245,1148
9836,,,
7213,1400,,
6282,1216,,
3659,2300,,
9229,2424,1406,1018
2144,1539,798,741
7001,2047,1386,661
2523,4306,2464,400
2903,3049,1705,
1350,2332,786,798
4703,1985,1412,573
6083,1480,1068,412
6174,2124,1358,766
7208,1176,564,612
698,2370,966,756
1766,2564,1498,1066
3734,4673,1689,1430
4499,2438,1012,868
4830,3971,1873,1367
5187,3839,1558,723
6148,2722,2282,440
6956,832,832,
8368,2055,1608,
9341,2958,988,1080
9818,2157,1113,1044
2235,,,
6429,,,
2992,713,,
7764,751,,
6691,2000,,
3160,975,,
9610,975,,
3631,751,,
470,975,,
2075,1200,,
6012,1200,,
6536,975,,
2354,2180,,
6061,3255,1779,1476
7787,751,,
4927,1405,1405,
4237,,,
6196,,,
9612,1555,,
4095,,,
9370,2050,2050,
9995,,,
879,,,
2196,,,
5648,928,928,
5954,1662,1086,576
8676,2353,802,917
3353,2207,885,692
8622,1032,581,451
2824,832,832,
7818,928,928,
6800,3199,1334,1515
8729,2360,1327,1033
232,2228,1086,638
516,2379,1522,117
547,2920,1772,1148
1879,4123,1773,1200
2931,1143,1143,
3104,1539,798,741
4601,,,
6264,1030,1030,
6888,3409,,
8273,6147,2330,2606
8862,928,928,
9085,1763,1112,651
9142,2277,798,761
9156,1589,750,839
9958,1176,564,612
1586,751,,
7409,,,
796,2621,1677,944
7422,2110,,
862,,,
5904,2352,964,744
8886,,,
9585,,,
8395,1559,798,761
9950,2001,1435,566
2031,,,
3147,1435,602,833
4920,3311,1940,595
5652,2166,1083,
4083,,,
7639,,,
203,1555,1555,
1524,2050,2050,
7719,2919,1401,1518
5759,1439,1439,0
2458,606,,
136,,,
974,3678,1706,1972
3413,1576,778,798
527,,,
2361,3245,1779,1466
980,,,
9251,627,,
3401,3754,3754,0
6348,2181,1627,554
6125,1200,,
6688,751,,
9981,816,,
2520,1400,,
3789,751,,
9498,816,,
436,627,,
9182,832,,
2207,975,,
6286,627,,
5400,,,
4147,,,
3953,,,
2510,4660,2636,2024
7792,975,,
44,,,
365,,,
4953,2042,2042,
6424,,,
7474,,,
8596,,,
8995,,,
7638,606,,
2873,712,,
6911,627,,
4375,1778,1778,
503,2486,1118,1368
5298,751,,
4473,1036,,
5809,1712,1712,
7973,1240,620,620
5718,2091,856,1235
668,1972,1041,931
994,2735,1494,1241
3510,864,864,0
8555,,,
6460,2217,1551,666
3310,2340,1352,988
6324,751,,
9001,2122,1162,960
9333,2262,2262,
3126,4239,2195.5,2043.5
8857,2559,2559,
6248,2967,1624,1343
1462,,,
5749,3530,1960,1086
9670,816,,
573,1200,,
4674,975,,
2115,,,
3298,,,
4972,,,
5322,,,
9065,,,
3676,606,,
543,,,
1584,,,
575,,,
5784,6408,,
1597,606,,
2732,,,
9434,1104,1104,
186,1280,1280,
281,,,
1832,750,,
4741,,,
9852,,,
9684,,,
3773,,,
6380,,,
7092,,,
9325,,,
6345,,,
483,3249,1532,1717
7541,3459,2237,1222
5450,2345,1385,960
9235,2122,,
3246,,,
3498,,,
325,,,
1275,,,
2172,,,
2377,,,
3730,,,
3977,,,
4731,,,
4734,,,
5320,,,
5931,,,
6062,,,
8730,,,
9347,,,
9412,,,
352,,,
865,,,
1180,,,
8874,,,
9126,,,
9704,,,
2429,,,
379,4080.5,2605,1475.5
7651,,,
716,,,
1942,,,
2064,,,
3110,,,
3204,,,
3390,,,
4048,,,
6723,,,
8193,,,
11201,,,
11202,,,
11203,,,
5941,,,
6896,2152,1315,837
8847,,,
3227,,,
5214,,,
398,,,
6236,,,
8344,,,
6845,,,
1974,,,
6667,,,
7172,,,
7750,,,
1954,,,
4465,,,
151,,,
3783,,,
2204,938,478,460
1354,,,
6945,,,
7203,,,
3095,,,
5639,,,
6212,,,
6242,,,
7155,,,
9016,,,
168,,,
9175,,,
885,,,
564,,,
1565,,,
3215,,,
330,,,
621,,,
930,,,
4014,,,
7128,,,
8198,,,
8506,,,
9389,,,
2750,,,
6605,,,
448,,,
1104,,,
1764,,,
2650,,,
4378,,,
4926,,,
5541,,,
5924,,,
7948,,,
5715,,,
6272,,,
3924,,,
4866,,,
9214,,,
2666,,,
5144,,,
6199,,,
6982,,,
8204,,,
2205,,,
6915,,,
5656,,,
5862,,,
2251,,,
8417,,,
5085,,,
4699,1834,1066,768
3431,,,
8450,2345,1385,960
6302,2413,1387,1026
1517,,,
6948,,,
5937,2144,2144,
4877,1485,1485,0
7937,,,
7952,,,
5015,,,
4289,,,
2654,,,
8715,,,
7690,,,
2049,,,
9851,,,
5527,,,
1557,,,
8928,,,
525,,,
9106,,,
8745,,,
3823,,,
2153,3951.5,2390,1561.5
3029,1439,1439,0
4580,,,
7472,,,
8005,,,
6870,,,
5929,,,
6161,1215,1215,0
5248,,,
7393,,,
6390,2122,1162,960
6487,,,
5984,,,
5058,,,
518,,,
690,,,
8627,,,
3517,,,
145,,,
3996,,,
5367,,,
8327,,,
2318,,,
558,,,
950,,,
4414,,,
914,,,
4235,,,
27,,,
5587,,,
5679,,,
6178,,,
9004,,,
8812,,,
9053,,,
5306,,,
7019,,,
2811,,,
2448,,,
2832,,,
3488,,,
6172,,,
9469,,,
4628,,,
7159,,,
7999,,,
9973,,,
1417,,,
1925,,,
4283,,,
4550,,,
5174,,,
5997,,,
6514,,,
6594,,,
387,,,
8162,,,
1240,,,
9186,,,
6464,,,
1272,,,
2096,,,
2786,,,
5495,,,
6703,,,
7069,,,
4431,,,
2611,,,
381,,,
8825,,,
153,2345,1385,960
9290,,,
